"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774513465484579234","Sun Mar 31 19:05:53 +0000 2024","0","akhirnya kembali ke habitat masing masing","1774513465484579234","","","in","Kota Bandung, Jawa Barat","0","0","0","https://x.com/ikea_alambarzah/status/1774513465484579234","839296940","ikea_alambarzah"
"1774469366320709870","Sun Mar 31 19:02:23 +0000 2024","0","@noradivaa Tp kamu bisa bikin tegang lg","1774512582428410146","","deliaanggrain","in","","0","0","0","https://x.com/DimasAr04227956/status/1774512582428410146","1301331227274653697","DimasAr04227956"
"1774290508615159875","Sun Mar 31 19:02:22 +0000 2024","0","@tanyarlfes Gw punya HP smp krn harus lomba di luar kota jd di kasih HP sm ortu","1774512579404243021","","tanyarlfes","in","","0","0","0","https://x.com/Diasidiq/status/1774512579404243021","2401898876","Diasidiq"
"1774438573393199426","Sun Mar 31 19:01:35 +0000 2024","0","@ffleurrdelyss @tanyarlfes Beda sayang kalo rujak pake petis kalo gado² pake bumbu kacang","1774512384138432991","","distaindsa","in","Kota Surabaya, Jawa Timur","0","1","0","https://x.com/dimasaksyah/status/1774512384138432991","1643776364515033088","dimasaksyah"
"1774491203926651134","Sun Mar 31 18:59:34 +0000 2024","0","@gyusseil Rillll tipikal lagu Waiji pertama didengerin agak kureng tapi lama kelamaan jadi enak. Meskipun MV nya full iluminesyennn ","1774511874798960927","","wonbitte","in","Lamongan - Surabaya","0","0","0","https://x.com/didiodie/status/1774511874798960927","176334258","didiodie"
"1774508474120180160","Sun Mar 31 18:52:14 +0000 2024","0","xi xixixi........","1774510030945194417","","dimasbagus9988","in","","0","0","0","https://x.com/dimasbagus9988/status/1774510030945194417","1720023455436099584","dimasbagus9988"
"1588756205924929537","Sun Mar 31 18:50:20 +0000 2024","0","@rudolf_dimas @evvaa36 Kirim yang viral dari Payangan Bali kak","1774509551741776329","","rudolf_dimas","in","","0","0","0","https://x.com/adtri_deni/status/1774509551741776329","1407945084750888970","adtri_deni"
"1774422046291972181","Sun Mar 31 18:48:40 +0000 2024","0","@um_fess emang bener kata orang wibu kalo ga cabul ya tolol","1774509133041164722","","um_fess","in","","0","0","0","https://x.com/DimasAdity31053/status/1774509133041164722","1763122143213256704","DimasAdity31053"
"1774507994493182241","Sun Mar 31 18:44:09 +0000 2024","0","lu ngomong ape si jir thrifting sama beli seken sama aja dimas","1774507994493182241","","","in","he/it🏳️‍⚧️🏳️‍🌈","0","0","0","https://x.com/sukunatism/status/1774507994493182241","1392078084451409926","sukunatism"
"1774436683922178227","Sun Mar 31 18:07:13 +0000 2024","0","@univ_indonesia Abu-abu bakso atau ijo billie eilish cakep sih","1774498700624310681","","univ_indonesia","in","Kosovo","0","0","0","https://x.com/DimasRezpector_/status/1774498700624310681","555086563","DimasRezpector_"
"1774473080154603642","Sun Mar 31 18:06:35 +0000 2024","1","@Chuckles_Sains @idextratime ada Dimas Hokky Titan agung","1774498541840544224","","Chuckles_Sains","in","","0","0","0","https://x.com/Ear4477/status/1774498541840544224","1501617888855478272","Ear4477"
"1769342420783931682","Sun Mar 31 18:05:26 +0000 2024","0","@falishalzhena_n Bpk kosnya ikutan nonton ga ?","1774498250810360107","","devyetanu_","in","","0","0","0","https://x.com/DimasAr04227956/status/1774498250810360107","1301331227274653697","DimasAr04227956"
"1774473080154603642","Sun Mar 31 18:05:22 +0000 2024","0","@iciikkiiwwiirr @idextratime itu ada Dimas Drajad Sananta Titan agung Hokky","1774498236499468310","","iciikkiiwwiirr","in","","0","0","0","https://x.com/Ear4477/status/1774498236499468310","1501617888855478272","Ear4477"
"1774471859586916852","Sun Mar 31 18:03:21 +0000 2024","0","@ngabngebs1 Aya ka kesel naon jang?","1774497726979522763","","ngabngebs1","in","","0","1","0","https://x.com/Yourdimass/status/1774497726979522763","1138930028534591488","Yourdimass"
"1774478920488034599","Sun Mar 31 18:02:50 +0000 2024","1","@Astuti12346 @Sarahcaresa Nah itu yg pas. Lgsg praktek","1774497598067605874","","","in","","0","0","0","https://x.com/DimasAr04227956/status/1774497598067605874","1301331227274653697","DimasAr04227956"
"1774435247616319597","Sun Mar 31 18:01:18 +0000 2024","0","@clarashytaa19 Udah pas itu","1774497209666650216","","clarashytaa19","in","","0","0","0","https://x.com/DimasAr04227956/status/1774497209666650216","1301331227274653697","DimasAr04227956"
"1774492914657423705","Sun Mar 31 18:01:01 +0000 2024","0","@kevinpramudya_ Trossard pas momen ini terlalu nafsu pen cetak gol. Tpi klo disitu posisinya Gabriel Jesus udh pasti makin ngaco gocek lagi. Martinelli udh kasih ruang malah Gak diumpan. ","1774497139319791802","","kevinpramudya_","in","North london","0","0","0","https://x.com/DimasJaee/status/1774497139319791802","2413835186","DimasJaee"
"1774488692310331467","Sun Mar 31 18:00:48 +0000 2024","0","@idextratime @bliblidotcom Lebih seru match ipul dicomeback king emyu","1774497084072186312","","idextratime","in","impeldown","0","0","0","https://x.com/keshhh_dms/status/1774497084072186312","1094065030822166528","keshhh_dms"
"1774129977463853077","Sun Mar 31 17:59:49 +0000 2024","0","@dela_2024 Suka donh","1774496840110776397","","dela_2024","in","","0","0","0","https://x.com/DimasAr04227956/status/1774496840110776397","1301331227274653697","DimasAr04227956"
